Transaction At,Type,Team,Transaction,FAAB,Misc,Manage
Week 3,,Remembering Tyreek Hill,"(+) Carson Steele KC RB, (-) Justin Fields PIT QB",$0,,Open options
Week 2,,Put that shi on,"(+) Greg Dortch ARI WR, (-) Blake Corum LAR RB",$0,,Open options
Week 2,,Nabers Think I'm Selli...,"(+) Isaiah Likely BAL TE, (-) Curtis Samuel BUF WR",$0,,Open options
Week 2,,Half Chubb,"(+) Indianapolis Colts IND DEF, (-) Miami Dolphins MIA DEF",$0,,Open options
Week 2,,Ruggs Race team,"(+) Jacksonville Jaguars JAX DEF, (-) Minnesota Vikings MIN DEF",$0,,Open options
Week 2,,Remembering Tyreek Hill,"(+) Detroit Lions DET DEF, (-) Cincinnati Bengals CIN DEF",$0,,Open options
Week 2,,Pickens Cotton,"(+) Colby Parkinson LAR TE, (-) Wan'Dale Robinson NYG WR",$0,,Open options
Week 2,,Addison Rae,(+) Tyler Johnson LAR WR,$0,,Open options
Week 2,,In Godwin We (no longe...,"(+) Wan'Dale Robinson NYG WR, (-) Ja'Lynn Polk NE WR",$0,,Open options
Week 2,,DakStreet Boyz,"(+) Juwan Johnson NO TE, (-) Dontayvion Wicks PHI WR",$0,,Open options
Week 2,,In Godwin We (no longe...,(+) Jaylen Wright MIA RB,$0,,Open options
Week 2,,In Godwin We (no longe...,"(+) Jeffery Wilson MIA RB, (-) Jaylen Wright MIA RB",$0,,Open options
Week 2,,Put that shi on,"(+) Kansas City Chiefs KC DEF, (-) Quentin Johnston LAC WR",$0,,Open options
Week 2,,Put that shi on,"(+) Chris Boswell PIT K, (-) Evan McPherson CIN K",$0,,Open options
Week 2,,Pickens Cotton,(+) Josh Reynolds DEN WR,$0,,Open options
Week 2,,Pickens Cotton,(+) Jamaal Williams NO RB,$0,,Open options
Week 2,,Nabers Think I'm Selli...,"(+) New England Patriots NE DEF, (-) Atlanta Falcons ATL DEF",$0,,Open options
Week 2,,Half Chubb,(+) Justice Hill BAL RB,$0,,Open options
Week 2,,DakStreet Boyz,"(+) Allen Lazard NYJ WR, (-) Tom Brady FA QB",$0,,Open options
Week 1,,Remembering Tyreek Hill,"(+) Deshaun Watson CLE QB, (-) Justin Fields PIT QB",$0,,Open options
Week 1,,Remembering Tyreek Hill,"(+) Justin Fields PIT QB, (-) Deshaun Watson CLE QB",$0,,Open options
Week 1,,Pickens Cotton,(+) Jordan Mason SF RB,$0,,Open options
Week 1,,Smell My Boutte,"(+) Seattle Seahawks SEA DEF, (-) Miles Sanders CAR RB",$0,,Open options
Week 1,,Nabers Think I'm Selli...,"(+) Malik Washington MIA WR, (-) Kansas City Chiefs KC DEF",$0,,Open options
Week 1,,Ruggs Race team,"(+) Minnesota Vikings MIN DEF, (-) Detroit Lions DET DEF",$0,,Open options
Week 1,,Put that shi on,"(+) Luke McCaffrey WAS WR, (-) Zay Jones ARI WR",$0,,Open options
Week 1,,Remembering Tyreek Hill,(+) Justin Fields PIT QB,$0,,Open options
Week 1,,Addison Rae,"(+) D.J. Chark LAC WR, (-) Kirk Cousins ATL QB",$0,,Open options
Week 1,,Addison Rae,"(+) Darius Slayton NYG WR, (-) Deshaun Watson CLE QB",$0,,Open options
Week 1,,Nabers Think I'm Selli...,(+) Atlanta Falcons ATL DEF,$0,,Open options
